Team,MarketValue_M,AvgPlayerValue_M,AvgAge
Man City,1460.0,53.96,24.9
Arsenal,1370.0,54.92,26.4
Chelsea,1080.0,38.74,24.4
Liverpool,1030.0,38.11,25.9
Man United,924.3,30.81,25.9
Tottenham,809.0,28.89,26.6
Crystal Palace,613.2,19.16,26.1
Newcastle United,606.1,23.31,25.8
Brighton,588.5,20.29,25.1
Aston Villa,586.3,20.94,26.3
Brentford,584.8,20.17,25.0
Bournemouth,574.55,19.81,25.6
Nottingham Forest,520.5,21.69,27.0
Sunderland,443.63,14.79,25.7
Leeds United,407.55,16.98,27.3
Fulham,401.8,14.88,26.5
Everton,394.1,18.77,26.8
Ipswich Town,330.55,11.81,27.2
Coventry,278.7,9.95,27.1
Hull City,253.3,7.24,26.2
